Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"Semantic mapping of natural language input to database entries via convolutional neural networks","M. Korpusik; Z. Collins; J. Glass","MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 02139, USA; MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 02139, USA; MIT Computer Science and Artificial Intelligence Laboratory, Cambridge, MA 02139, USA","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5685","5689","Natural language processing research has made major advances with the concept of representing words, sentences, paragraphs, and even documents by embedded vector representations. We apply this idea to the problem of relating foods, as expressed in natural language meal descriptions, to corresponding database entries. We generate fixed-length embeddings for U.S. Department of Agriculture (USDA) food database entries, as well as vector-based representations of natural language meal descriptions, through a convolutional neural network (CNN) architecture that predicts whether or not a USDA food item is present in the meal description. We compute dot products between each token in a meal description and a USDA food entry. By ranking the network's predicted average dot product between each possible database food entry and a meal description, we show it is possible to directly predict the USDA foods mentioned in a meal without requiring intermediate steps that would be used in a conventional database access application. We report the performance of this model on a binary verification task of over 48k meal descriptions, and show that this approach, when integrated with a Markov model, substantially outperforms our previous best multistage approach involving a conditional random field tagger, probabilistic segmentation, and database lookup.","","","10.1109/ICASSP.2017.7953245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953245","Convolutional Neural Networks;Finite State Transducers;Crowdsourcing","Databases;Training;Predictive models;Natural languages;Semantics;Markov processes;Tagging","database management systems;Markov processes;natural language processing;neural nets;probability;vectors","semantic mapping;natural language input;convolutional neural networks;natural language processing;embedded vector representations;natural language meal descriptions;fixed-length embeddings;U.S. Department of Agriculture;USDA;food database entries;CNN;Markov model;probabilistic segmentation;database lookup","","5","","","","","","IEEE","IEEE Conferences"
"End-to-end joint learning of natural language understanding and dialogue manager","X. Yang; Y. Chen; D. Hakkani-Tür; P. Crook; X. Li; J. Gao; L. Deng","University of Illinois at Urbana-Champaign, USA; National Taiwan University, Taipei, Taiwan; Google Research, Mountain View, CA, USA; Microsoft Corporation, Redmond, WA, USA; Microsoft Research, Redmond, WA, USA; Microsoft Research, Redmond, WA, USA; Microsoft Research, Redmond, WA, USA","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5690","5694","Natural language understanding and dialogue policy learning are both essential in conversational systems that predict the next system actions in response to a current user utterance. Conventional approaches aggregate separate models of natural language understanding (NLU) and system action prediction (SAP) as a pipeline that is sensitive to noisy outputs of error-prone NLU. To address the issues, we propose an end-to-end deep recurrent neural network with limited contextual dialogue memory by jointly training NLU and SAP on DSTC4 multi-domain human-human dialogues. Experiments show that our proposed model significantly outperforms the state-of-the-art pipeline models for both NLU and SAP, which indicates that our joint model is capable of mitigating the affects of noisy NLU outputs, and NLU model can be refined by error flows backpropagating from the extra supervised signals of system actions.","","","10.1109/ICASSP.2017.7953246","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953246","language understanding;spoken dialogue systems;end-to-end;dialogue manager;deep learning","Hidden Markov models;Tagging;Predictive models;Training;Pipelines;Natural languages;Noise measurement","interactive systems;learning (artificial intelligence);natural language processing;recurrent neural nets","end-to-end joint learning;natural language understanding;dialogue manager;dialogue policy learning;user utterance;NLU;system action prediction;SAP;end-to-end deep recurrent neural network;human-human dialogues","","11","","","","","","IEEE","IEEE Conferences"
"Discovering dimensions of perceived vocal expression in semi-structured, unscripted oral history accounts","M. Pietrowicz; M. Hasegawa-Johnson; K. Karahalios","University of Illinois, Departments of Computer Science, United States of America; Electrical and Computer Engineering, United States of America; University of Illinois, Departments of Computer Science, United States of America","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5695","5699","What do people hear in expressive, unprompted speech? And how can their descriptions be transformed into a representative set of dimensions of vocal expression? This paper presents a methodology for collecting user description of vocal expression, transforms the user descriptions into a set of measurable expressive dimensions, and derives a representative feature set and baseline classifiers across these dimensions. The resulting classifiers recognized the top 13 dimensions over an oral history corpus, with a maximum unweighted recall score of 80.5%.","","","10.1109/ICASSP.2017.7953247","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953247","Perception;vocal expression;paralingual speech;acoustic correlates;unscripted speech;oral histories","Speech;Entropy;History;Interviews;Acoustics;Jitter;Speech recognition","feature extraction;signal classification;speech processing","oral history corpus;baseline classifiers;representative feature set;measurable expressive dimensions;unscripted oral history accounts;semistructured oral history accounts;perceived vocal expression;dimension discovery","","1","","","","","","IEEE","IEEE Conferences"
"Sequence-to-sequence models for punctuated transcription combining lexical and acoustic features","O. Klejch; P. Bell; S. Renals","Centre for Speech Technology Research, University of Edinburgh, EH8 9AB, UK; Centre for Speech Technology Research, University of Edinburgh, EH8 9AB, UK; Centre for Speech Technology Research, University of Edinburgh, EH8 9AB, UK","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5700","5704","In this paper we present an extension of our previously described neural machine translation based system for punctuated transcription. This extension allows the system to map from per frame acoustic features to word level representations by replacing the traditional encoder in the encoder-decoder architecture with a hierarchical encoder. Furthermore, we show that a system combining lexical and acoustic features significantly outperforms systems using only a single source of features on all measured punctuation marks. The combination of lexical and acoustic features achieves a significant improvement in F-Measure of 1.5 absolute over the purely lexical neural machine translation based system.","","","10.1109/ICASSP.2017.7953248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953248","punctuation;speech recognition;neural machine translation;rich transcription","Acoustics;Training;Stochastic processes;Hidden Markov models;Speech;Decoding;Data models","acoustic signal processing;decoding;encoding;language translation;neural nets;speech recognition","sequence-to-sequence models;punctuated transcription;lexical features;acoustic features;neural machine translation;word level representations;encoder-decoder architecture;hierarchical encoder;punctuation marks;F-measure;speech recognition","","3","","","","","","IEEE","IEEE Conferences"
"Recurrent Neural Network based language modeling with controllable external Memory","W. Ko; B. Tseng; H. Lee","Research Center for Information Technology Innovation, Academia Sinica, China; Graduate Institute of Communication Engineering, National Taiwan University, China; Graduate Institute of Communication Engineering, National Taiwan University, China","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5705","5709","It is crucial for language models to model long-term dependency in word sequences, which can be achieved to some good extent by recurrent neural network (RNN) based language models with long short-term memory (LSTM) units. To accurately model the sophisticated long-term information in human languages, large memory in language models is necessary. However, the size of RNN-based language models cannot be arbitrarily increased because the computational resources required and the model complexity will also be increase accordingly, due to the limitation of the structure. To overcome this problem, inspired from Neural Turing Machine and Memory Network, we equip RNN-based language models with controllable external memory. With a learnable memory controller, the size of the external memory is independent to the number of model parameters, so the proposed language model can have larger memory without increasing the parameters. In the experiments, the proposed model yielded lower perplexities than RNN-based language models with LSTM units on both English and Chinese corpora.","","","10.1109/ICASSP.2017.7953249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953249","RNNLM;Neural turing machine","Training;Computational modeling;Feedforward neural networks;Recurrent neural networks;Turing machines;Adaptation models","computational complexity;natural language processing;neural nets;statistical analysis;Turing machines","recurrent neural network based language modeling;RNN based language models;controllable external memory;word sequence long-term dependency;long short-term memory;LSTM units;human languages;large memory;model complexity;neural Turing machine;memory network;learnable memory controller;English corpora;Chinese corpora","","","","","","","","IEEE","IEEE Conferences"
"A Neural Network approach for mixing language models","Y. Oualil; D. Klakow","Spoken Language Systems (LSV), Collaborative Research Center on Information Density and Linguistic Encoding, Saarland University, Saarbrücken, Germany; Spoken Language Systems (LSV), Collaborative Research Center on Information Density and Linguistic Encoding, Saarland University, Saarbrücken, Germany","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5710","5714","The performance of Neural Network (NN)-based language models is steadily improving due to the emergence of new architectures, which are able to learn different natural language characteristics. This paper presents a novel framework, which shows that a significant improvement can be achieved by combining different existing heterogeneous models in a single architecture. This is done through 1) a feature layer, which separately learns different NN-based models and 2) a mixture layer, which merges the resulting model features. In doing so, this architecture benefits from the learning capabilities of each model with no noticeable increase in the number of model parameters or the training time. Extensive experiments conducted on the Penn Treebank (PTB) and the Large Text Compression Benchmark (LTCB) corpus showed a significant reduction of the perplexity when compared to state-of-the-art feedforward as well as recurrent neural network architectures.","","","10.1109/ICASSP.2017.7953250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953250","Neural networks;mixture models;language modeling","Artificial neural networks;Mixture models;Training;Standards;Recurrent neural networks;Context","feedforward neural nets;learning (artificial intelligence);natural language processing;recurrent neural nets","neural network approach;NN-based language models;natural language characteristics;heterogeneous models;feature layer;mixture layer;Penn Treebank;PTB;large text compression benchmark;LTCB;feedforward neural network architectures;recurrent neural network architectures","","3","","","","","","IEEE","IEEE Conferences"
"Dialog context language modeling with recurrent neural networks","B. Liu; I. Lane","Electrical and Computer Engineering, Carnegie Mellon University, United States of America; Electrical and Computer Engineering, Carnegie Mellon University, United States of America","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5715","5719","In this work, we propose contextual language models that incorporate dialog level discourse information into language modeling. Previous works on contextual language model treat preceding utterances as a sequence of inputs, without considering dialog interactions. We design recurrent neural network (RNN) based contextual language models that specially track the interactions between speakers in a dialog. Experiment results on Switchboard Dialog Act Corpus show that the proposed model outperforms conventional single turn based RNN language model by 3.3% on perplexity. The proposed models also demonstrate advantageous performance over other competitive contextual language models.","","","10.1109/ICASSP.2017.7953251","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953251","RNNLM;contextual language model;dialog modeling;dialog act","Context;Context modeling;Computational modeling;Training;Predictive models;Data models;Switches","interactive systems;natural language processing;recurrent neural nets","Switchboard Dialog Act Corpus;contextual language models;RNN;dialog level discourse information;recurrent neural networks;dialog context language modeling","","2","","","","","","IEEE","IEEE Conferences"
"Character-level language modeling with hierarchical recurrent neural networks","K. Hwang; W. Sung","Department of Electrical and Computer Engineering, Seoul National University, 1, Gwanak-ro, Gwanak-gu, 08826 Korea; Department of Electrical and Computer Engineering, Seoul National University, 1, Gwanak-ro, Gwanak-gu, 08826 Korea","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5720","5724","Recurrent neural network (RNN) based character-level language models (CLMs) are extremely useful for modeling out-of-vocabulary words by nature. However, their performance is generally much worse than the word-level language models (WLMs), since CLMs need to consider longer history of tokens to properly predict the next one. We address this problem by proposing hierarchical RNN architectures, which consist of multiple modules with different timescales. Despite the multi-timescale structures, the input and output layers operate with the character-level clock, which allows the existing RNN CLM training approaches to be directly applicable without any modifications. Our CLM models show better perplexity than Kneser-Ney (KN) 5-gram WLMs on the One Billion Word Benchmark with only 2% of parameters. Also, we present real-time character-level end-to-end speech recognition examples on the Wall Street Journal (WSJ) corpus, where replacing traditional mono-clock RNN CLMs with the proposed models results in better recognition accuracies even though the number of parameters are reduced to 30%.","","","10.1109/ICASSP.2017.7953252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953252","Character-level language model;hierarchical recurrent neural network;long short-term memory","Clocks;Context;Training;Recurrent neural networks;Context modeling;Speech recognition;Probability distribution","natural language processing;recurrent neural nets","WSJ corpus;Wall Street Journal;hierarchical RNN architectures;WLM;word-level language models;CLM;hierarchical recurrent neural networks;character-level language modeling","","4","","","","","","IEEE","IEEE Conferences"
"Learning concepts through conversations in spoken dialogue systems","R. Jia; L. Heck; D. Hakkani-Tür; G. Nikolov","Stanford University, CA, United States of America; Google Research, Mountain View, CA, United States of America; Google Research, Mountain View, CA, United States of America; Google Research, Mountain View, CA, United States of America","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5725","5729","Spoken dialogue systems must be able to recover gracefully from unexpected user inputs. In many cases, these unexpected utterances may be within the scope of the system, but include previously unseen phrases that the system cannot interpret. In this work, we augment a spoken dialogue system with the ability to learn about new concepts by conversing with the user in natural language. We present a novel model that detects phrases corresponding to such concepts, using information from a neural slotfiller as well as syntactic cues. The system then prompts the user for a definition of the detected phrases, and uses these definitions to re-parse the original utterance. We demonstrate significant gains by learning from the user, compared to a baseline system.","","","10.1109/ICASSP.2017.7953253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953253","Spoken dialogue systems;interactive learning","Natural languages;Syntactics;Training;Buildings;Robustness;Predictive models;Gold","learning (artificial intelligence);natural language processing","spoken dialogue systems;natural language;learning concepts;neural slotfiller;syntactic cues","","","","","","","","IEEE","IEEE Conferences"
"LDA-based context dependent recurrent neural network language model using document-based topic distribution of words","M. A. Haidar; M. Kurimo","Department of Signal Processing and Acoustics, School of Electrical Engineering, Aalto University, Finland; Department of Signal Processing and Acoustics, School of Electrical Engineering, Aalto University, Finland","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5730","5734","Adding context information into recurrent neural network language models (RNNLMs) have been investigated recently to improve the effectiveness of learning RNNLM. Conventionally, a fast approximate topic representation for a block of words was proposed by using corpus-based topic distribution of word incorporating latent Dirichlet allocation (LDA) model. It is then updated for each subsequent word using an exponential decay. However, words could represent different topics in different documents. In this paper, we form document-based distribution over topics for each word using LDA model and apply it in the computation of fast approximate exponentially decaying features. We have shown experimental results on a well known Penn Treebank corpus and found that our approach outperforms the conventional LDA-based context RNNLM approach. Moreover, we carried out speech recognition experiments on Wall Street Journal corpus and achieved word error rate (WER) improvements over the other approach.","","","10.1109/ICASSP.2017.7953254","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953254","Recurrent neural network;language modeling;latent Dirichlet allocation;speech recognition","Computational modeling;Training;Context;Recurrent neural networks;Neurons;Resource management;Training data","document handling;recurrent neural nets;speech recognition","LDA-based context dependent recurrent neural network language model;document-based topic distribution of words;context information;RNNLM;fast approximate topic representation;corpus-based topic distribution;latent Dirichlet allocation;LDA model;Penn Treebank corpus;speech recognition;Wall Street Journal corpus;word error rate;WER","","2","","","","","","IEEE","IEEE Conferences"
"Exploiting different word clusterings for class-based RNN language modeling in speech recognition","M. Song; Y. Zhao; S. Wang","Department of Computer Science, University of Missouri, Columbia, USA; Department of Computer Science, University of Missouri, Columbia, USA; Department of Computer Science and Engineering, Wright State University, Dayton OH, USA","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5735","5739","We propose to exploit the potential of multiple word clusterings in class-based recurrent neural network (RNN) language models for ensemble RNN language modeling. By varying the clustering criteria and the space of word embedding, different word clusterings are obtained to define different word/class factorizations. For each such word/class factorization, several base RNNLMs are learned, and the word prediction probabilities of the base RNNLMs are then combined to form an ensemble prediction. We use a greedy backward model selection procedure to select a subset of models and combine these models for word prediction. The proposed ensemble language modeling method has been evaluated on Penn Treebank test set as well as Wall Street Journal (WSJ) Eval 92 and 93 test sets, where it improved test set perplexity and word error rate over the state-of-the-art single RNNLMs as well as multiple RNNLMs produced by varying RNN learning conditions.","","","10.1109/ICASSP.2017.7953255","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953255","recurrent neural network;language modeling;model combination;speech recognition","Hidden Markov models;Recurrent neural networks;Adaptation models;Predictive models;Clustering methods;Computational modeling;Speech recognition","greedy algorithms;learning (artificial intelligence);pattern clustering;recurrent neural nets;speech recognition;statistical distributions;word processing","class-based RNN language modeling;speech recognition;multiple word clusterings;ensemble RNN language modeling;clustering criteria;word embedding;word/class factorizations;RNNLM;prediction probabilities;greedy backward model selection;word prediction;Penn Treebank test set;Wall Street Journal test set;WSJ test set;RNN learning conditions","","3","","","","","","IEEE","IEEE Conferences"
"Investigations on byte-level convolutional neural networks for language modeling in low resource speech recognition","K. Irie; P. Golik; R. Schlüter; H. Ney","Human Language Technology and Pattern Recognition, Computer Science Department, RWTH Aachen University, Germany; Human Language Technology and Pattern Recognition, Computer Science Department, RWTH Aachen University, Germany; Human Language Technology and Pattern Recognition, Computer Science Department, RWTH Aachen University, Germany; Human Language Technology and Pattern Recognition, Computer Science Department, RWTH Aachen University, Germany","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5740","5744","In this paper, we present an investigation on technical details of the byte-level convolutional layer which replaces the conventional linear word projection layer in the neural language model. In particular, we discuss and compare the effective filter configurations, pooling types and the use of bytes instead of characters. We carry out experiments on language packs released by the IARPA Babel project and measure the performance in terms of perplexity and word error rate. Introducing a convolutional layer consistently improves the results on all languages. Also, there is no degradation from using raw bytes instead of proper Unicode characters, even on syllabic alphabets like Amharic. In addition, we report improvements in word error rate from rescoring lattices and evaluate keyword search performance on several languages.","","","10.1109/ICASSP.2017.7953256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953256","language modeling;convolutional neural networks;speech recognition;keyword search","Convolution;Neural networks;Road transportation;Keyword search;Acoustics;Topology;Training","natural language processing;neural nets;speech recognition;statistical distributions","byte-level convolutional neural networks;language modeling;low resource speech recognition;conventional linear word projection layer;neural language model;filter configurations;pooling types;bytes usage;language packs;IARPA Babel project;word error rate;syllabic alphabets;rescoring lattices;keyword search","","1","","","","","","IEEE","IEEE Conferences"
"Topic identification of spoken documents using unsupervised acoustic unit discovery","S. Kesiraju; R. Pappagari; L. Ondel; L. Burget; N. Dehak; S. Khudanpur; J. Černocký; S. V. Gangashetty","Brno University of Technology, Speech@FIT and IT4I Center of Excellence, Czech Republic; Center for Language and Speech Processing, Johns Hopkins University, Baltimore, U. S. A; Brno University of Technology, Speech@FIT and IT4I Center of Excellence, Czech Republic; Brno University of Technology, Speech@FIT and IT4I Center of Excellence, Czech Republic; Center for Language and Speech Processing, Johns Hopkins University, Baltimore, U. S. A; Center for Language and Speech Processing, Johns Hopkins University, Baltimore, U. S. A; Brno University of Technology, Speech@FIT and IT4I Center of Excellence, Czech Republic; International Institute of Information Technology, Hyderabad, India","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5745","5749","This paper investigates the application of unsupervised acoustic unit discovery for topic identification (topic ID) of spoken audio documents. The acoustic unit discovery method is based on a non-parametric Bayesian phone-loop model that segments a speech utterance into phone-like categories. The discovered phone-like (acoustic) units are further fed into the conventional topic ID framework. Using multilingual bottleneck features for the acoustic unit discovery, we show that the proposed method outperforms other systems that are based on cross-lingual phoneme recognizer.","","","10.1109/ICASSP.2017.7953257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953257","topic identification;acoustic unit discovery;unsupervised learning;non-parametric Bayesian models","Hidden Markov models;Acoustics;Speech;Vocabulary;Training;Data models;Bayes methods","audio signal processing;Bayes methods;document handling;nonparametric statistics;speech recognition;unsupervised learning","cross-lingual phoneme recognizer;multilingual bottleneck features;topic ID framework;speech utterance;phone-like categories;nonparametric Bayesian phone-loop model;spoken audio documents;unsupervised acoustic unit discovery method;topic identification","","3","","","","","","IEEE","IEEE Conferences"
"Bayesian phonotactic Language Model for Acoustic Unit Discovery","L. Ondel; L. Burget; J. Černocký; S. Kesiraju","Brno University of Technology, Czech Republic; Brno University of Technology, Czech Republic; Brno University of Technology, Czech Republic; International Institute of Information Technology, Hyderabad, India","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5750","5754","Recent work on Acoustic Unit Discovery (AUD) has led to the development of a non-parametric Bayesian phone-loop model where the prior over the probability of the phone-like units is assumed to be sampled from a Dirichlet Process (DP). In this work, we propose to improve this model by incorporating a Hierarchical Pitman-Yor based bigram Language Model on top of the units' transitions. This new model makes use of the phonotactic context information but assumes a fixed number of units. To remedy this limitation we first train a DP phone-loop model to infer the number of units, then, the bigram phone-loop is initialized from the DP phone-loop and trained until convergence of its parameters. Results show an absolute improvement of 1-2%on the Normalized Mutual Information (NMI) metric. Furthermore, we show that, combined with Multilingual Bottleneck (MBN) features the model yields a same or higher NMI as an English phone recogniser trained on TIMIT.","","","10.1109/ICASSP.2017.7953258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953258","Bayesian non-parametric;Variational Bayes;acoustic unit discovery","Hidden Markov models;Training;Data models;Bayes methods;Mutual information;Mel frequency cepstral coefficient","Bayes methods;speech processing","Bayesian phonotactic language model;acoustic unit discovery;AUD;nonparametric Bayesian phone-loop model;Dirichlet process;hierarchical Pitman-Yor based bigram language model;phonotactic context information;DP phone-loop model;bigram phone-loop;normalized mutual information;NMI metric;multilingual bottleneck;MBN;TIMIT","","1","","","","","","IEEE","IEEE Conferences"
"The 2016 BBN Georgian telephone speech keyword spotting system","T. Alumäe; D. Karakos; W. Hartmann; R. Hsiao; L. Zhang; L. Nguyen; S. Tsakalidis; R. Schwartz","Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5755","5759","In this paper we describe the 2016 BBN conversational telephone speech keyword spotting system; the culmination of four years of research and development under the IARPA Babel program. The system was constructed in response to the NIST Open Keyword Search (OpenKWS) evaluation of 2016. We present our technological breakthroughs in building top-performing keyword spotting processing systems for new languages, in the face of limited transcribed speech, noisy conditions, and limited system build time of one week.","","","10.1109/ICASSP.2017.7953259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953259","keyword spotting;under-resourced languages;multilingual training;subword systems","Training;Hidden Markov models;Speech;Acoustics;Feature extraction;Training data;Adaptation models","natural language processing;speech processing","BBN Georgian conversational telephone speech keyword spotting system;IARPA Babel program;NIST open keyword search evaluation;OpenKWS evaluation;transcribed speech;noisy conditions","","6","","","","","","IEEE","IEEE Conferences"
"Weakly supervised spoken term discovery using cross-lingual side information","S. Bansal; H. Kamper; S. Goldwater; A. Lopez","Institute for Language, Cognition, and Computation, School of Informatics, University of Edinburgh, UK; Institute for Language, Cognition, and Computation, School of Informatics, University of Edinburgh, UK; Institute for Language, Cognition, and Computation, School of Informatics, University of Edinburgh, UK; Institute for Language, Cognition, and Computation, School of Informatics, University of Edinburgh, UK","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5760","5764","Recent work on unsupervised term discovery (UTD) aims to identify and cluster repeated word-like units from audio alone. These systems are promising for some very low-resource languages where transcribed audio is unavailable, or where no written form of the language exists. However, in some cases it may still be feasible (e.g., through crowdsourcing) to obtain (possibly noisy) text translations of the audio. If so, this information could be used as a source of side information to improve UTD. Here, we present a simple method for rescoring the output of a UTD system using text translations, and test it on a corpus of Spanish audio with English translations. We show that it greatly improves the average precision of the results over a wide range of system configurations and data preprocessing methods.","","","10.1109/ICASSP.2017.7953260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953260","Unsupervised term discovery;low-resource speech processing;speech translation;weakly supervised learning","Speech;Acoustics;Semantics;Matched filters;Noise measurement;Training data","language translation;learning (artificial intelligence);natural language processing;speech processing","spoken term discovery;cross-lingual side information;unsupervised term discovery;UTD;audio text translations;Spanish audio;English translations;data preprocessing methods","","","","","","","","IEEE","IEEE Conferences"
"Analysis of keyword spotting performance across IARPA babel languages","W. Hartmann; D. Karakos; R. Hsiao; L. Zhang; T. Alumäe; S. Tsakalidis; R. Schwartz","Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA; Raytheon BBN Technologies, Cambridge, MA, USA","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5765","5769","With the completion of the IARPA Babel program, it is possible to systematically analyze the performance of speech recognition systems across a wide variety of languages. We select 16 languages from the dataset and compare performance using a deep neural network-based acoustic model. The focus is on keyword spotting using the actual term-weighted value (ATWV) metric. We demonstrate that ATWV is keyword dependent, and that this must be accounted for in any cross-language analysis. Further, we show that while performance across languages does not track with any particular feature of the language, it is correlated with inter-annotator agreement.","","","10.1109/ICASSP.2017.7953261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953261","ATWV;babel;cross-language analysis","Training;Measurement;Speech;Speech recognition;Acoustics;Training data;Decoding","natural language processing;neural nets;speech recognition","keyword spotting performance;IARPA Babel languages;IARPA Babel program;speech recognition systems;deep neural network-based acoustic model;actual term-weighted value metric;ATWV metric;cross-language analysis;inter-annotator agreement","","1","","","","","","IEEE","IEEE Conferences"
"Morph-to-word transduction for accurate and efficient automatic speech recognition and keyword search","A. Ragni; D. Saunders; P. Zahemszky; J. Vasilakes; M. J. F. Gales; K. M. Knill","Department of Engineering, University of Cambridge, Trumpington Street, CB2 1PZ, UK; Department of Engineering, University of Cambridge, Trumpington Street, CB2 1PZ, UK; Department of Engineering, University of Cambridge, Trumpington Street, CB2 1PZ, UK; Department of Engineering, University of Cambridge, Trumpington Street, CB2 1PZ, UK; Department of Engineering, University of Cambridge, Trumpington Street, CB2 1PZ, UK; Department of Engineering, University of Cambridge, Trumpington Street, CB2 1PZ, UK","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","2017","","","5770","5774","Word units are a popular choice in statistical language modelling. For inflective and agglutinative languages this choice may result in a high out of vocabulary rate. Subword units, such as morphs, provide an interesting alternative to words. These units can be derived in an unsupervised fashion and empirically show lower out of vocabulary rates. This paper proposes a morph-to-word transduction to convert morph sequences into word sequences. This enables powerful word language models to be applied. In addition, it is expected that techniques such as pruning, confusion network decoding, keyword search and many others may benefit from word rather than morph level decision making. However, word or morph systems alone may not achieve optimal performance in tasks such as keyword search so a combination is typically employed. This paper proposes a single index approach that enables word, morph and phone searches to be performed over a single morph index. Experiments are conducted on IARPA Babel program languages including the surprise languages of the OpenKWS 2015 and 2016 competitions.","","","10.1109/ICASSP.2017.7953262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953262","morph-to-word transduction;speech recognition;keyword search;single index","Indexes;Acoustics;Lattices;Transducers;Keyword search;Decoding;Vocabulary","natural language processing;speech recognition","morph-to-word transduction;automatic speech recognition;keyword search;statistical language modelling;inflective language;agglutinative language;vocabulary rate;vocabulary rates;morph sequences;word sequences;morph index;IARPA Babel program languages","","","","","","","","IEEE","IEEE Conferences"
